scenario_id,sampling_mode,partition,seed_index,seed,composition_regime
S4-A,unique,test,6,6655948,nominal
S4-A,unique,test,7,6655949,nominal
S4-A,unique,test,8,6655950,nominal
S4-A,unique,test,9,6655951,nominal
S4-A,unique,test,10,6655952,dominant_plus_15pp
S4-A,unique,test,11,6655953,dominant_plus_15pp
S4-A,unique,test,12,6655954,dominant_plus_15pp
S4-A,unique,test,13,6655955,dominant_plus_15pp
S4-A,unique,test,14,6655956,dominant_plus_15pp
S4-A,unique,test,15,6655957,dominant_plus_15pp
S4-A,unique,test,16,6655958,dominant_plus_15pp
S4-A,unique,test,17,6655959,dominant_plus_15pp
S4-A,unique,test,18,6655960,dominant_plus_15pp
S4-A,unique,test,19,6655961,dominant_plus_15pp
S4-A,unique,test,20,6655962,dominant_minus_15pp
S4-A,unique,test,21,6655963,dominant_minus_15pp
S4-A,unique,test,22,6655964,dominant_minus_15pp
S4-A,unique,test,23,6655965,dominant_minus_15pp
S4-A,unique,test,24,6655966,dominant_minus_15pp
S4-A,unique,test,25,6655967,dominant_minus_15pp
S4-A,unique,test,26,6655968,dominant_minus_15pp
S4-A,unique,test,27,6655969,dominant_minus_15pp
S4-A,unique,test,28,6655970,dominant_minus_15pp
S4-A,unique,test,29,6655971,dominant_minus_15pp
S4-A,non_unique,train,,3660000,fixed
S4-A,non_unique,validation,,3662000,fixed
S4-A,non_unique,test,0,4655942,nominal
S4-A,non_unique,test,1,4655943,nominal
S4-A,non_unique,test,2,4655944,nominal
S4-A,non_unique,test,3,4655945,nominal
S4-A,non_unique,test,4,4655946,nominal
S4-A,non_unique,test,5,4655947,nominal
S4-A,non_unique,test,6,4655948,nominal
S4-A,non_unique,test,7,4655949,nominal
S4-A,non_unique,test,8,4655950,nominal
S4-A,non_unique,test,9,4655951,nominal
S4-A,non_unique,test,10,4655952,dominant_plus_15pp
S4-A,non_unique,test,11,4655953,dominant_plus_15pp
S4-A,non_unique,test,12,4655954,dominant_plus_15pp
S4-A,non_unique,test,13,4655955,dominant_plus_15pp
S4-A,non_unique,test,14,4655956,dominant_plus_15pp
S4-A,non_unique,test,15,4655957,dominant_plus_15pp
S4-A,non_unique,test,16,4655958,dominant_plus_15pp
S4-A,non_unique,test,17,4655959,dominant_plus_15pp
S4-A,non_unique,test,18,4655960,dominant_plus_15pp
S4-A,non_unique,test,19,4655961,dominant_plus_15pp
S4-A,non_unique,test,20,4655962,dominant_minus_15pp
S4-A,non_unique,test,21,4655963,dominant_minus_15pp
S4-A,non_unique,test,22,4655964,dominant_minus_15pp
S4-A,non_unique,test,23,4655965,dominant_minus_15pp
S4-A,non_unique,test,24,4655966,dominant_minus_15pp
S4-A,non_unique,test,25,4655967,dominant_minus_15pp
S4-A,non_unique,test,26,4655968,dominant_minus_15pp
S4-A,non_unique,test,27,4655969,dominant_minus_15pp
S4-A,non_unique,test,28,4655970,dominant_minus_15pp
S4-A,non_unique,test,29,4655971,dominant_minus_15pp
S4-B,unique,train,,5670000,fixed
S4-B,unique,validation,,5672000,fixed
S4-B,unique,test,0,6676323,nominal
S4-B,unique,test,1,6676324,nominal
S4-B,unique,test,2,6676325,nominal
S4-B,unique,test,3,6676326,nominal
S4-B,unique,test,4,6676327,nominal
S4-B,unique,test,5,6676328,nominal
S4-B,unique,test,6,6676329,nominal
S4-B,unique,test,7,6676330,nominal
S4-B,unique,test,8,6676331,nominal
S4-B,unique,test,9,6676332,nominal
S4-B,unique,test,10,6676333,dominant_plus_15pp
S4-B,unique,test,11,6676334,dominant_plus_15pp
S4-B,unique,test,12,6676335,dominant_plus_15pp
S4-B,unique,test,13,6676336,dominant_plus_15pp
S4-B,unique,test,14,6676337,dominant_plus_15pp
S4-B,unique,test,15,6676338,dominant_plus_15pp
S4-B,unique,test,16,6676339,dominant_plus_15pp
S4-B,unique,test,17,6676340,dominant_plus_15pp
S4-B,unique,test,18,6676341,dominant_plus_15pp
S4-B,unique,test,19,6676342,dominant_plus_15pp
S4-B,unique,test,20,6676343,dominant_minus_15pp
S4-B,unique,test,21,6676344,dominant_minus_15pp
S4-B,unique,test,22,6676345,dominant_minus_15pp
S4-B,unique,test,23,6676346,dominant_minus_15pp
S4-B,unique,test,24,6676347,dominant_minus_15pp
S4-B,unique,test,25,6676348,dominant_minus_15pp
S4-B,unique,test,26,6676349,dominant_minus_15pp
S4-B,unique,test,27,6676350,dominant_minus_15pp
S4-B,unique,test,28,6676351,dominant_minus_15pp
S4-B,unique,test,29,6676352,dominant_minus_15pp
S4-B,non_unique,train,,3670000,fixed
S4-B,non_unique,validation,,3672000,fixed
S4-B,non_unique,test,0,4676323,nominal
S4-B,non_unique,test,1,4676324,nominal
S4-B,non_unique,test,2,4676325,nominal
S4-B,non_unique,test,3,4676326,nominal
S4-B,non_unique,test,4,4676327,nominal
S4-B,non_unique,test,5,4676328,nominal
S4-B,non_unique,test,6,4676329,nominal
S4-B,non_unique,test,7,4676330,nominal
S4-B,non_unique,test,8,4676331,nominal
S4-B,non_unique,test,9,4676332,nominal
S4-B,non_unique,test,10,4676333,dominant_plus_15pp
S4-B,non_unique,test,11,4676334,dominant_plus_15pp
S4-B,non_unique,test,12,4676335,dominant_plus_15pp
S4-B,non_unique,test,13,4676336,dominant_plus_15pp
S4-B,non_unique,test,14,4676337,dominant_plus_15pp
S4-B,non_unique,test,15,4676338,dominant_plus_15pp
S4-B,non_unique,test,16,4676339,dominant_plus_15pp
S4-B,non_unique,test,17,4676340,dominant_plus_15pp
S4-B,non_unique,test,18,4676341,dominant_plus_15pp
S4-B,non_unique,test,19,4676342,dominant_plus_15pp
S4-B,non_unique,test,20,4676343,dominant_minus_15pp
S4-B,non_unique,test,21,4676344,dominant_minus_15pp
S4-B,non_unique,test,22,4676345,dominant_minus_15pp
S4-B,non_unique,test,23,4676346,dominant_minus_15pp
S4-B,non_unique,test,24,4676347,dominant_minus_15pp
S4-B,non_unique,test,25,4676348,dominant_minus_15pp
S4-B,non_unique,test,26,4676349,dominant_minus_15pp
S4-B,non_unique,test,27,4676350,dominant_minus_15pp
S4-B,non_unique,test,28,4676351,dominant_minus_15pp
S4-B,non_unique,test,29,4676352,dominant_minus_15pp
S5-A,unique,train,,5680000,fixed
S5-A,unique,validation,,5682000,fixed
S5-A,unique,test,0,6621945,nominal
S5-A,unique,test,1,6621946,nominal
S5-A,unique,test,2,6621947,nominal
S5-A,unique,test,3,6621948,nominal
S5-A,unique,test,4,6621949,nominal
S5-A,unique,test,5,6621950,nominal
S5-A,unique,test,6,6621951,nominal
S5-A,unique,test,7,6621952,nominal
